TIME,EVENT,DETAIL
2026.09.17 09:51:36,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 10:01:00,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 10:01:00,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 10:12:00,SIGNAL,BULL R=5.14 ext=4325.11
2026.09.17 10:15:25,EXT_HIT,2026.09.17 10:10:00 extreme=4325.14
2026.09.17 10:15:31,PB_CONFIRM,2026.09.17 10:10:00 R=5.14
2026.09.17 10:15:31,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 10:20:07,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4324.81
2026.09.17 11:14:00,SIGNAL,BEAR R=2.97 ext=4317.56
2026.09.17 11:17:47,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 11:17:47,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 11:40:00,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 11:40:00,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 11:55:27,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 11:55:27,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 12:00:38,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 12:00:38,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 12:03:49,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 12:03:49,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 12:28:00,SIGNAL,BEAR R=3.69 ext=4304.57
2026.09.17 12:49:55,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 12:49:55,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 12:52:19,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 12:52:19,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 12:53:58,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 12:53:58,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 13:12:00,SIGNAL,BULL R=3.25 ext=4315.28
2026.09.17 13:18:46,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 13:18:46,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 13:23:09,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 13:23:09,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 13:26:00,SIGNAL,BULL R=3.86 ext=4317.63
2026.09.17 13:30:08,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 13:30:08,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 13:35:36,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 13:35:36,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 13:36:00,SIGNAL,BULL R=3.01 ext=4319.17
2026.09.17 13:39:52,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 13:39:52,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 13:52:00,SIGNAL,BULL R=3.63 ext=4325.63
2026.09.17 13:52:34,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 13:52:34,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 13:52:34,SIGNAL,BULL R=3.63 ext=4325.63
2026.09.17 14:00:05,EXT_HIT,2026.09.17 13:50:00 extreme=4325.67
2026.09.17 14:00:10,PB_CONFIRM,2026.09.17 13:50:00 R=3.63
2026.09.17 14:00:10,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 14:02:00,SIGNAL,BULL R=4.17 ext=4332.36
2026.09.17 14:07:32,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 14:07:32,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 14:10:00,SIGNAL,BULL R=3.39 ext=4339.29
