strategy,entry_time,entry_price,exit_time,exit_price,dir,volume,r_realized,gross_pnl,commission,net_pnl,reason,entry_path,entry_dt,exit_dt,hold_hours
007_symfastconfirm,1736412078,2663.8,1736416660,2663.3525,-1,0.02,0.250000000000127,0.8950000000004366,0.3,0.5950000000004365,LOCK,mechanical,2025-01-09 08:41:18+00:00,2025-01-09 09:57:40+00:00,1.2727777777777778
007_symfastconfirm,1736427000,2667.83,1736427575,2667.4475,-1,0.02,0.2499999999998514,0.7649999999994179,0.3,0.46499999999941793,LOCK,fast,2025-01-09 12:50:00+00:00,2025-01-09 12:59:35+00:00,0.1597222222222222
007_symfastconfirm,1736429263,2671.12,1736429309,2670.7375,-1,0.02,0.2499999999998514,0.7649999999994179,0.3,0.46499999999941793,LOCK,mechanical,2025-01-09 13:27:43+00:00,2025-01-09 13:28:29+00:00,0.012777777777777779
007_symfastconfirm,1736430000,2669.32,1736436458,2676.5799999999995,-1,0.02,-2.0,-14.519999999998618,0.3,-14.819999999998618,SL,fast,2025-01-09 13:40:00+00:00,2025-01-09 15:27:38+00:00,1.7938888888888889
007_symfastconfirm,1736437800,2675.86,1736437951,2675.0060000000003,-1,0.02,0.37787610619464773,1.707999999999629,0.3,1.4079999999996289,TP,fast,2025-01-09 15:50:00+00:00,2025-01-09 15:52:31+00:00,0.041944444444444444
007_symfastconfirm,1736449559,2665.02,1736450189,2665.605,1,0.02,0.25,1.1700000000000728,0.3,0.8700000000000727,LOCK,mechanical,2025-01-09 19:05:59+00:00,2025-01-09 19:16:29+00:00,0.175
007_symfastconfirm,1736450400,2666.06,1736450618,2667.22,1,0.02,0.42962962962960466,2.319999999999709,0.3,2.019999999999709,TP,fast,2025-01-09 19:20:00+00:00,2025-01-09 19:23:38+00:00,0.06055555555555556
007_symfastconfirm,1736466762,2671.31,1736466851,2671.1075,-1,0.02,0.24999999999985964,0.40499999999974534,0.3,0.10499999999974535,LOCK,mechanical,2025-01-09 23:52:42+00:00,2025-01-09 23:54:11+00:00,0.024722222222222222
007_symfastconfirm,1736470800,2670.6,1736473058,2669.791,-1,0.02,0.9987654320985139,1.6179999999994834,0.3,1.3179999999994834,TP,fast,2025-01-10 01:00:00+00:00,2025-01-10 01:37:38+00:00,0.6272222222222222
007_symfastconfirm,1736473200,2669.7,1736473200,2670.488,-1,0.02,-2.073684210525749,-1.5760000000000218,0.3,-1.8760000000000219,TP,fast,2025-01-10 01:40:00+00:00,2025-01-10 01:40:00+00:00,0.0
007_symfastconfirm,1736474400,2670.02,1736474400,2669.6369999999997,1,0.02,-0.607936507937263,-0.7660000000005311,0.3,-1.0660000000005312,TP,fast,2025-01-10 02:00:00+00:00,2025-01-10 02:00:00+00:00,0.0
007_symfastconfirm,1736477081,2670.44,1736477145,2670.3875000000003,-1,0.02,0.24999999999945863,0.10499999999956346,0.3,-0.19500000000043655,LOCK,mechanical,2025-01-10 02:44:41+00:00,2025-01-10 02:45:45+00:00,0.017777777777777778
007_symfastconfirm,1736478196,2671.25,1736478220,2670.87,-1,0.01,1.0,0.38000000000010914,0.15,0.23000000000010914,PARTIAL_TP,mechanical,2025-01-10 03:03:16+00:00,2025-01-10 03:03:40+00:00,0.006666666666666667
